prompt_id,category,difficulty,prompt
1,General QA,Easy,Answer the following general knowledge question #1 with a concise explanation.
2,General QA,Easy,Answer the following general knowledge question #2 with a concise explanation.
3,General QA,Easy,Answer the following general knowledge question #3 with a concise explanation.
4,General QA,Easy,Answer the following general knowledge question #4 with a concise explanation.
5,General QA,Easy,Answer the following general knowledge question #5 with a concise explanation.
6,General QA,Easy,Answer the following general knowledge question #6 with a concise explanation.
7,General QA,Easy,Answer the following general knowledge question #7 with a concise explanation.
8,General QA,Easy,Answer the following general knowledge question #8 with a concise explanation.
9,General QA,Easy,Answer the following general knowledge question #9 with a concise explanation.
10,General QA,Easy,Answer the following general knowledge question #10 with a concise explanation.
11,General QA,Easy,Answer the following general knowledge question #11 with a concise explanation.
12,General QA,Easy,Answer the following general knowledge question #12 with a concise explanation.
13,General QA,Easy,Answer the following general knowledge question #13 with a concise explanation.
14,General QA,Easy,Answer the following general knowledge question #14 with a concise explanation.
15,General QA,Easy,Answer the following general knowledge question #15 with a concise explanation.
16,General QA,Easy,Answer the following general knowledge question #16 with a concise explanation.
17,General QA,Easy,Answer the following general knowledge question #17 with a concise explanation.
18,General QA,Easy,Answer the following general knowledge question #18 with a concise explanation.
19,General QA,Easy,Answer the following general knowledge question #19 with a concise explanation.
20,General QA,Easy,Answer the following general knowledge question #20 with a concise explanation.
21,General QA,Medium,Answer the following general knowledge question #21 with a concise explanation.
22,General QA,Medium,Answer the following general knowledge question #22 with a concise explanation.
23,General QA,Medium,Answer the following general knowledge question #23 with a concise explanation.
24,General QA,Medium,Answer the following general knowledge question #24 with a concise explanation.
25,General QA,Medium,Answer the following general knowledge question #25 with a concise explanation.
26,General QA,Medium,Answer the following general knowledge question #26 with a concise explanation.
27,General QA,Medium,Answer the following general knowledge question #27 with a concise explanation.
28,General QA,Medium,Answer the following general knowledge question #28 with a concise explanation.
29,General QA,Medium,Answer the following general knowledge question #29 with a concise explanation.
30,General QA,Medium,Answer the following general knowledge question #30 with a concise explanation.
31,General QA,Medium,Answer the following general knowledge question #31 with a concise explanation.
32,General QA,Medium,Answer the following general knowledge question #32 with a concise explanation.
33,General QA,Medium,Answer the following general knowledge question #33 with a concise explanation.
